WLCverse,curr,ckind
153,c581,Verbal clauses
153,c582,Nominal clauses
153,c583,Nominal clauses
153,c584,Nominal clauses
154,c585,Verbal clauses
154,c586,Verbal clauses
154,c587,Verbal clauses
154,c588,Verbal clauses
155,c589,Clauses without predication
155,c590,Verbal clauses
155,c591,Verbal clauses
155,c592,Nominal clauses
155,c593,Verbal clauses
155,c594,Verbal clauses
155,c595,Nominal clauses
155,c596,Verbal clauses
156,c597,Verbal clauses
156,c598,Verbal clauses
157,c599,Clauses without predication
157,c600,Verbal clauses
157,c601,Verbal clauses
157,c602,Verbal clauses
158,c603,Clauses without predication
158,c604,Verbal clauses
158,c605,Verbal clauses
159,c606,Verbal clauses
159,c607,Verbal clauses
159,c608,Verbal clauses
159,c609,Verbal clauses
160,c610,Verbal clauses
160,c611,Verbal clauses
160,c612,Verbal clauses
161,c613,Verbal clauses
161,c614,Verbal clauses
161,c615,Verbal clauses
162,c616,Verbal clauses
162,c617,Clauses without predication
162,c618,Nominal clauses
162,c619,Clauses without predication
163,c620,Clauses without predication
163,c621,Verbal clauses
164,c622,Verbal clauses
164,c623,Verbal clauses
164,c624,Verbal clauses
164,c625,Verbal clauses
165,c626,Verbal clauses
165,c627,Verbal clauses
166,c628,Nominal clauses
166,c629,Verbal clauses
166,c630,Nominal clauses
167,c631,Verbal clauses
168,c632,Verbal clauses
168,c633,Nominal clauses
168,c634,Verbal clauses
168,c635,Verbal clauses
169,c636,Verbal clauses
169,c637,Verbal clauses
170,c638,Verbal clauses
170,c639,Verbal clauses
171,c640,Verbal clauses
171,c641,Verbal clauses
172,c642,Verbal clauses
173,c643,Verbal clauses
174,c644,Clauses without predication
174,c645,Verbal clauses
174,c646,Clauses without predication
175,c647,Verbal clauses
175,c648,Nominal clauses
176,c649,Verbal clauses
176,c650,Verbal clauses
176,c651,Verbal clauses
176,c652,Verbal clauses
176,c653,Verbal clauses
177,c654,Verbal clauses
177,c655,Verbal clauses
177,c656,Verbal clauses
177,c657,Verbal clauses
178,c658,Verbal clauses
178,c659,Verbal clauses
178,c660,Verbal clauses
179,c661,Verbal clauses
179,c662,Verbal clauses
179,c663,Nominal clauses
180,c664,Verbal clauses
180,c665,Verbal clauses
181,c666,Verbal clauses
181,c667,Verbal clauses
181,c668,Verbal clauses
181,c669,Verbal clauses
181,c670,Verbal clauses
182,c671,Verbal clauses
182,c672,Nominal clauses
182,c673,Verbal clauses
182,c674,Nominal clauses
182,c675,Verbal clauses
183,c676,Verbal clauses
183,c677,Nominal clauses
183,c678,Verbal clauses
183,c679,Verbal clauses
183,c680,Verbal clauses
183,c681,Nominal clauses
184,c682,Verbal clauses
185,c683,Verbal clauses
185,c684,Nominal clauses
185,c685,Verbal clauses
185,c686,Verbal clauses
186,c687,Verbal clauses
186,c688,Verbal clauses
187,c689,Verbal clauses
187,c690,Verbal clauses
188,c691,Verbal clauses
189,c692,Verbal clauses
189,c693,Verbal clauses
190,c694,Verbal clauses
190,c695,Verbal clauses
190,c696,Verbal clauses
191,c697,Verbal clauses
191,c698,Verbal clauses
191,c699,Verbal clauses
192,c700,Verbal clauses
192,c701,Verbal clauses
192,c702,Verbal clauses
193,c703,Verbal clauses
193,c704,Verbal clauses
193,c705,Nominal clauses
193,c706,Verbal clauses
193,c707,Verbal clauses
193,c708,Verbal clauses
194,c709,Verbal clauses
194,c710,Verbal clauses
194,c711,Verbal clauses
195,c712,Verbal clauses
195,c713,Nominal clauses
195,c714,Verbal clauses
195,c715,Verbal clauses
196,c716,Verbal clauses
196,c717,Verbal clauses
196,c718,Verbal clauses
196,c719,Verbal clauses
197,c720,Verbal clauses
197,c721,Verbal clauses
197,c722,Verbal clauses
197,c723,Verbal clauses
197,c724,Verbal clauses
198,c725,Verbal clauses
199,c726,Verbal clauses
199,c727,Verbal clauses
200,c728,Verbal clauses
201,c729,Verbal clauses
201,c730,Nominal clauses
201,c731,Verbal clauses
201,c732,Verbal clauses
201,c733,Verbal clauses
201,c734,Verbal clauses
201,c735,Verbal clauses
201,c736,Verbal clauses
202,c737,Verbal clauses
203,c738,Verbal clauses
203,c739,Verbal clauses
203,c740,Verbal clauses
204,c741,Verbal clauses
204,c742,Verbal clauses
204,c743,Verbal clauses
205,c744,Verbal clauses
205,c745,Verbal clauses
205,c746,Verbal clauses
205,c747,Verbal clauses
205,c748,Nominal clauses
205,c749,Verbal clauses
205,c750,Verbal clauses
205,c751,Verbal clauses
206,c752,Verbal clauses
207,c753,Verbal clauses
207,c754,Verbal clauses
207,c755,Verbal clauses
207,c756,Verbal clauses
207,c757,Verbal clauses
208,c758,Verbal clauses
208,c759,Nominal clauses
208,c760,Verbal clauses
208,c761,Nominal clauses
208,c762,Verbal clauses
209,c763,Verbal clauses
209,c764,Nominal clauses
209,c765,Verbal clauses
209,c766,Verbal clauses
210,c767,Verbal clauses
211,c768,Verbal clauses
211,c769,Verbal clauses
211,c770,Verbal clauses
212,c771,Clauses without predication
212,c772,Verbal clauses
212,c773,Verbal clauses
213,c774,Verbal clauses
213,c775,Verbal clauses
213,c776,Verbal clauses
213,c777,Verbal clauses
214,c778,Verbal clauses
214,c779,Verbal clauses
215,c780,Clauses without predication
215,c781,Verbal clauses
216,c782,Clauses without predication
216,c783,Nominal clauses
216,c784,Clauses without predication
216,c785,Clauses without predication
216,c786,Verbal clauses
216,c787,Clauses without predication
217,c788,Verbal clauses
217,c789,Verbal clauses
217,c790,Verbal clauses
217,c791,Verbal clauses
218,c792,Verbal clauses
218,c793,Nominal clauses
218,c794,Verbal clauses
218,c795,Nominal clauses
218,c796,Nominal clauses
219,c797,Verbal clauses
219,c798,Verbal clauses
220,c799,Verbal clauses
220,c800,Verbal clauses
220,c801,Verbal clauses
221,c802,Verbal clauses
221,c803,Nominal clauses
221,c804,Verbal clauses
221,c805,Verbal clauses
222,c806,Verbal clauses
222,c807,Verbal clauses
222,c808,Verbal clauses
222,c809,Nominal clauses
