WLCverse,curr,ctype
108,c448,Infinitive construct clause
109,c449,Wayyiqtol-X clause
109,c450,Wayyiqtol-null clause
109,c451,Wayyiqtol-null clause
110,c452,Wayyiqtol-X clause
110,c453,Infinitive construct clause
110,c454,Wayyiqtol-X clause
110,c455,Wayyiqtol-null clause
111,c456,Wayyiqtol-X clause
111,c457,x-qatal-null clause
111,c458,Wayyiqtol-X clause
111,c459,Wayyiqtol-null clause
112,c460,Wayyiqtol-X clause
112,c461,Wayyiqtol-null clause
113,c462,Wayyiqtol-X clause
113,c463,Infinitive construct clause
113,c464,Wayyiqtol-X clause
113,c465,Wayyiqtol-null clause
114,c466,Wayyiqtol-X clause
114,c467,Wayyiqtol-null clause
115,c468,Wayyiqtol-X clause
115,c469,Wayyiqtol-null clause
116,c470,Wayyiqtol-X clause
116,c471,Infinitive construct clause
116,c472,Wayyiqtol-X clause
116,c473,Wayyiqtol-null clause
117,c474,Wayyiqtol-X clause
117,c475,Wayyiqtol-null clause
118,c476,Wayyiqtol-X clause
118,c477,Wayyiqtol-null clause
119,c478,Wayyiqtol-X clause
119,c479,Infinitive construct clause
119,c480,Wayyiqtol-X clause
119,c481,Wayyiqtol-null clause
120,c482,Wayyiqtol-X clause
120,c483,Wayyiqtol-null clause
121,c484,Wayyiqtol-X clause
121,c485,Wayyiqtol-null clause
122,c486,Wayyiqtol-X clause
122,c487,Infinitive construct clause
122,c488,Wayyiqtol-X clause
122,c489,Wayyiqtol-null clause
123,c490,Wayyiqtol-X clause
123,c491,Wayyiqtol-null clause
124,c492,Wayyiqtol-X clause
124,c493,Wayyiqtol-null clause
125,c494,Wayyiqtol-X clause
125,c495,Infinitive construct clause
125,c496,Wayyiqtol-X clause
125,c497,Wayyiqtol-null clause
126,c498,Wayyiqtol-X clause
126,c499,Wayyiqtol-null clause
127,c500,Wayyiqtol-X clause
127,c501,Wayyiqtol-null clause
128,c502,Wayyiqtol-X clause
128,c503,Infinitive construct clause
128,c504,Wayyiqtol-X clause
128,c505,Wayyiqtol-null clause
129,c506,Wayyiqtol-X clause
130,c507,Wayyiqtol-X clause
130,c508,Nominal clause
130,c509,x-qatal-X clause
131,c510,Wayyiqtol-X clause
131,c511,Wayyiqtol-null clause
132,c512,Wayyiqtol-X clause
132,c513,Infinitive construct clause
132,c514,Wayyiqtol-X clause
132,c515,Wayyiqtol-null clause
133,c516,Wayyiqtol-X clause
133,c517,Wayyiqtol-null clause
134,c518,Wayyiqtol-X clause
134,c519,Wayyiqtol-null clause
135,c520,Wayyiqtol-null clause
135,c521,Infinitive construct clause
135,c522,X-yiqtol clause
135,c523,x-qatal-X clause
136,c524,Wayyiqtol-X clause
136,c525,Infinitive construct clause
136,c526,Wayyiqtol-X clause
136,c527,Wayyiqtol-null clause
137,c528,Wayyiqtol-X clause
137,c529,Wayyiqtol-null clause
138,c530,Wayyiqtol-X clause
138,c531,Wayyiqtol-X clause
139,c532,Wayyiqtol-null clause
139,c533,x-qatal-X clause
139,c534,Infinitive construct clause
139,c535,We-X-qatal clause
140,c536,Wayyiqtol-X clause
140,c537,Adjective clause
140,c538,Wayyiqtol-null clause
140,c539,x-qatal-null clause
141,c540,Wayyiqtol-X clause
141,c541,x-yiqtol-X clause
141,c542,Nominal clause
141,c543,We-qatal-X clause
142,c544,X-qatal clause
142,c545,Ellipsis
142,c546,x-yiqtol-X clause
142,c547,We-qatal-null clause
142,c548,Nominal clause
142,c549,Nominal clause
142,c550,Nominal clause
143,c551,Wayyiqtol-X clause
143,c552,Adjective clause
143,c553,Adjective clause
144,c554,Wayyiqtol-X clause
144,c555,x-qatal-null clause
144,c556,Wayyiqtol-null clause
145,c557,Wayyiqtol-X clause
145,c558,Zero-yiqtol-null clause
145,c559,x-qatal-null clause
145,c560,Zero-yiqtol-null clause
145,c561,x-qatal-null clause
145,c562,x-qatal-null clause
146,c563,We-X-qatal clause
147,c564,Nominal clause
147,c565,X-qatal clause
147,c566,x-qatal-X clause
148,c567,Wayyiqtol-X clause
149,c568,Wayyiqtol-X clause
149,c569,Wayyiqtol-X clause
150,c570,Wayyiqtol-X clause
150,c571,We-x-qatal-null clause
150,c572,x-qatal-X clause
151,c573,Wayyiqtol-X clause
151,c574,X-qatal clause
151,c575,x-qatal-X clause
151,c576,Participle clause
152,c577,Zero-imperative-null clause
152,c578,x-yiqtol-null clause
152,c579,We-qatal-null clause
153,c580,Nominal clause
153,c581,x-yiqtol-null clause
153,c582,Nominal clause
153,c583,Nominal clause
153,c584,Nominal clause
